Chapters,Favs,Follows,Published,Reviews,Updated,Words,author,characters,genre,language,rating,story_link,synopsis,title,published_mmyy,pairing
1,, 1, 12/27/2019,,," 1,064",ginevra.potter62442,,Romance/Family,English,K+,https://www.fanfiction.net/s/13463097/1/New-Year-s-With-The-Weasleys,Will New Year's Eve be peaceful for Harry? Read the story to find out A/N: I do NOT own Harry Potter.,New Year's With The Weasleys,12-2019,
1, 3, 2, 12/27/2019,1.0,, 620,reviews,"Harry P., Albus D., Tom R. Jr., OC",Romance/Adventure,English,M,https://www.fanfiction.net/s/13463018/1/Twisted-Threads,"Things never go as you expect them to go, even less for a certain Harry Potter. Who said the world had to turn as fate expected it to do? Who said there's no someone who can make fun of her? Follow Harry as he finds himself in the past as a 11 years old in a not so forgiving world, with a snake with red eyes hidding in the grass. This is slash.",Twisted Threads,12-2019,
2, 5, 7, 12/27/2019,, 1/3," 4,336",thatsmyverb,"Sirius B., Remus L., James P., Peter P.",,English,K,https://www.fanfiction.net/s/13463009/1/Everything-Has-Changed-and-now-I-can-t-tell-what-matters,Marauders 6th Year Fic *** James Potter's life is about to change drastically after an attack on Diagon Alley. *** Title from 'Wild Heart' by Bleachers,Everything Has Changed (and now I can't tell what matters),12-2019,
2,,, 12/27/2019,,," 1,492",NLDhm,,Romance/Drama,English,K,https://www.fanfiction.net/s/13463006/1/Water-From-The-Moon,A fifth-year girl sat in the common room by the fireplace on one of the dark green leather sofas facing the common room door.,Water From The Moon,12-2019,
2,,, 12/27/2019,,," 2,258",vladdraculatepes1,"Severus S., OC",Romance/Drama,English,M,https://www.fanfiction.net/s/13462996/1/Dressed-In-Black,Carol Anne Dancer is a fifth year Ravenclaw student trying to pass all of her classes and O.W.L.s by the end of the year. She is so worn down by studying that she falls asleep during one of Severus's lectures. Will she survive the Potion Master's harsh scrutiny?,Dressed In Black,12-2019,
1, 5, 4, 12/27/2019,1.0,," 2,208",reviews,,Family,French,K,https://www.fanfiction.net/s/13462977/1/Le-no%C3%ABl-des-Potter,"-Salut Lulu ! ricana Sirius, en lui donnant Harry, chez qui il venait de détecter une odeur suspecte. -Arrête avec ce surnom stupide… Argh ! Qu'est-ce que.. ? Lily ! reprend le ! -Ton parrain va te changer mon trésor ! décida Lily en remettant Harry dans les bras de Sirius. -C'est hors de question ! C'est vous les parents,, c'est votre responsabilité ! votre choix, votre caca !",Le noël des Potter,12-2019,
1,,, 12/27/2019,,, 993,DarkAngelOfSorrowReturns,"[Oliver W., Daphne G.]",Humor,English,T,https://www.fanfiction.net/s/13462944/1/Let-s-Talk,"Oliver was in no partying mood, but maybe an encounter in the kitchen will change his mind.",Let's Talk,12-2019,"Oliver W., Daphne G."
1, 3, 3, 12/27/2019,1.0,," 1,245",reviews,"[Lily Evans P., Narcissa M.]",Humor/Romance,English,T,https://www.fanfiction.net/s/13462917/1/Frozen-Black-Lake-Picnic,"There is nothing better after a hard day of Christmas shopping than snuggling up by the Black Lake for a picnic lunch with the one you love, or at least Narcissa Black thinks so. That is exactly what she plans on doing with her lover Lily. Whether Lily likes it or not. After all, no one has ever told Narcissa no and they aren't going to start now.",Frozen Black Lake Picnic,12-2019,"Lily Evans P., Narcissa M."
1, 7, 2, 12/27/2019,1.0,," 2,920",reviews,"[Harry P., Hermione G.]",Angst/Romance,English,T,https://www.fanfiction.net/s/13462904/1/love-not-wrong-brave,empty promises lead to an empty soul.,love not wrong (brave),12-2019,"Harry P., Hermione G."
1, 10, 8, 12/27/2019,1.0,," 3,542",reviews,"[James P., Lily Evans P.] Sirius B., Remus L.",Romance/Fantasy,English,T,https://www.fanfiction.net/s/13462879/1/Elevators-Rings-and-Spencers,"The students at Hogwarts are on break for Christmas Vacation, but for one Lily Evans, school sounds more appealing than home. On a spontaneous trip to the mall with Marlene, a small part of Hogwarts is brought back to her. Maybe her favorite part. (Or) Lily and James get stuck in an elevator.","Elevators, Rings and Spencers",12-2019,"James P., Lily Evans P."
1, 2, 1, 12/27/2019,3.0,, 835,reviews,Teddy L.,Family,French,K,https://www.fanfiction.net/s/13462876/1/Ted-Black,Il est temps pour le jeune Teddy de devenir un homme et de prendre des décisions.,Ted Black,12-2019,
1, 18, 6, 12/27/2019,7.0,," 2,903",reviews,"Harry P., Draco M.",Romance/Hurt/Comfort,French,M,https://www.fanfiction.net/s/13462854/1/Ne-nous-renie-pas,[HPDM] Slash One-shot Harry et Draco reviennent pour leur huitième année à Poudlard mais le cœur n'y est plus. La vie les a désertés. Comment reprendre contact avec la réalité après la guerre ? Comment retrouver un semblant d'émotion ?,Ne nous renie pas,12-2019,
