Chapters,Favs,Follows,Published,Reviews,Updated,Words,Author,Characters,Genre,Language,Rating,Story_link,Synopsis,Title,Pairing
1,9,31,2019-12-31,5.0,2019-12-31,1690,Wrong author,"HermioneG.,DracoM.",Friendship/Romance,English,K+,https://www.fanfiction.net/s/13466553/1/Lilacs,"Draco walks Hermione back to her dorm after the Yule Ball. Warm fuzzy feelings and who knows what else. DRAMIONE, obviously. Read and Review pretty please.",Lilacs,No specified pairings
1,2,1,2019-12-31,1.0,2019-12-31,4178,Wrong author,"NarcissaM.,OCCedricD.,HarryP.",Drama/Supernatural,English,M,https://www.fanfiction.net/s/13466536/1/For-the-Love-of-Gods,God/Goddess!AU. When two gods of Olympus make a bet between each other on who can get the most mortals to love them will there be room for love? Narcissa goddess of beauty and love isn't sure until she finds the beautiful Apolline. But will the bet and Cedric god of poetry get in the way of their happiness? And what of Apolline's husband? What happens when he finds out?,For the Love of Gods,"Narcissa M., OC"
1,71,25,2019-12-31,22.0,2019-12-31,3790,Wrong author,"HermioneG.,DracoM.",Romance/Angst,English,M,https://www.fanfiction.net/s/13466530/1/Second-Chance-New-Years-Eve,"Second part to SECOND CHANCE: The decision to make their secret relationship public on New Years Eve, what could possibly go wrong?",Second Chance: New Years Eve,"Hermione G., Draco M."
8,1,2,2019-12-31,6.0,2019-12-31,5517,The Princess of Pink,Unspecified Characters,Hurt/Comfort/Romance,English,T,https://www.fanfiction.net/s/13466498/1/A-bit-too-much-to-drink,"After one drink too many and a drunken mistake, Luna and Neville think nothing will come of it. Little that they know, this night will change their lives forever. Well, there is always too much of everything.",A bit too much to drink,No specified pairings
4,57,57,2019-12-31,14.0,2019-12-31,14391,LSUSWEETIE,"FredW.,HermioneG.",Romance,English,M,https://www.fanfiction.net/s/13466471/1/Only-Mine-Till-Midnight,Fred asks Hermione to attend a New Year's Eve party as his date and pretend to be his girlfriend. How will she manage to make it through the evening when she wishes that the fake relationship would be real? Rated M for safety.,Only Mine Till Midnight,"Fred W., Hermione G."
1,4,3,2019-12-31,2.0,2019-12-31,848,Wrong author,"LilyLunaP.,ScorpiusM.",Romance,Spanish,K+,https://www.fanfiction.net/s/13466445/1/Regalo-de-cumplea%C3%B1os-o-de-A%C3%B1o-nuevo,"Quedando veinte minutos para su cumpleaños, Lily recibe un regalo que le ayudará en su futuro",Regalo de cumpleaños o de Año nuevo,"Lily Luna P., Scorpius M."
9,47,109,2019-12-31,21.0,2019-12-31,7962,Lorde Shadowz,"HarryP.,SeverusS.",Drama/Suspense,English,T,https://www.fanfiction.net/s/13466413/1/Phoenix-Burning,"AU sixth year. Harry has a new animagus form, which comes with unexpected powers. A chance encounter in the Forbidden Forest, and the Wizarding world will never be the same again.",Phoenix Burning,No specified pairings
1,1,1,2019-12-31,0.0,2019-12-31,4986,psc07,Unspecified Characters,Romance/Friendship,Portuguese,K,https://www.fanfiction.net/s/13466407/1/State-of-Grace-The-Grace-of-Love,"O Destino age de diversas maneiras, em diversas ocasiões, por diversos motivos. Lily Evans sempre acreditou em Destino, então não costumava questionar tudo. Ela acreditava muito - tanto que foi agraciada com o amor. Fanfic escrita para o Amigo Secreto SwiftJily de final de ano 3",State of Grace - The Grace of Love,No specified pairings
1,3,3,2019-12-31,0.0,2019-12-31,2420,kitsunegir100,"HarryP.,RonW.,HermioneG.,DracoM.",Romance/Friendship,English,T,https://www.fanfiction.net/s/13466390/1/Blood-Is-Thicker-Than-Water-Right,"Isla Fox is messy, unorganized, indecisive, a half-blood, and worst of all, a Gryffindor. Just the type of person that Draco Malfoy can't stand. But when they get paired together for Potions in the hopes that Draco can help her not explode EVERYTHING she concocts, he learns that she is also kind, gentle, forgiving, insanely smart, and most importantly, sees only the best in people.",Blood Is Thicker Than Water Right?,No specified pairings
1,0,0,2019-12-31,0.0,2019-12-31,188,HogwartsGryffindorWitch62442,Unspecified Characters,Unspecified Genre,English,K+,https://www.fanfiction.net/s/13466366/1/Pomfrey-s-Hopes,"Madam Pomfrey's contemplations on New Year's Eve during the war. Tried for a drabble, but it's slightly longer than that.",Pomfrey's Hopes,No specified pairings
5,0,0,2019-12-31,0.0,2019-12-31,3058,uindaseivra,RitaS.,Romance/Spiritual,Spanish,M,https://www.fanfiction.net/s/13466346/1/El-Carro-Alado,Nadie pudo derrotar a la reina. Rita fue capaz de esconderse a simple vista por ser la peor de todas.,El Carro Alado,No specified pairings
